toy: n=16 qubits, 16 4-body plaquettes, D=4, s=4; lam_c(s=4) = 0.01190830

== V_p = diag(+1 vac, -1 else) ==
  lam/lam_c   lam      ED gap   >=1/2?  KT conv  |<psi_KT|g>|  E_KT-E0_ED   ||C||_1   mu*(lam)  ratio  2lam q'(||C||)  L4'-says-gap>=1/2
     10.0  0.11908  0.89429  yes      18   1.000000000000  +3.29e-14  9.837e-02  inf  nan   22.2054   no 
     20.0  0.23817  0.81648  yes      21   1.000000000000  +1.08e-13  1.713e-01  inf  nan   98.3959   no 
     22.0  0.26198  0.80400  yes      22   1.000000000000  +7.98e-14  1.821e-01  inf  nan   121.3530   no 
     25.0  0.29771  0.78697  yes      23   1.000000000000  +8.97e-14  1.962e-01  inf  nan   159.8212   no 

== V_p = XXXX ==
  lam/lam_c   lam      ED gap   >=1/2?  KT conv  |<psi_KT|g>|  E_KT-E0_ED   ||C||_1   mu*(lam)  ratio  2lam q'(||C||)  L4'-says-gap>=1/2
      0.5  0.00595  1.00000  yes      13   1.000000000000  +6.23e-15  1.493e-03  1.069e-02  0.140   0.3509   yes 
      1.0  0.01191  0.99999  yes      13   1.000000000000  +2.80e-14  2.995e-03  2.997e-02  0.100   0.7154   yes 
      2.0  0.02382  0.99996  yes      14   1.000000000000  +2.69e-14  6.026e-03  inf  nan   1.4867   no 
      5.0  0.05954  0.99978  yes      14   1.000000000000  +2.17e-13  1.535e-02  inf  nan   4.1772   no 
     10.0  0.11908  0.99911  yes      16   1.000000000000  +1.19e-13  3.171e-02  inf  nan   10.2133   no 
     20.0  0.23817  0.99641  yes      18   1.000000000000  +5.35e-13  6.804e-02  inf  nan   31.4190   no 
     22.0  0.26198  0.99564  yes      19   1.000000000000  +3.50e-13  7.598e-02  inf  nan   37.8771   no 
     25.0  0.29771  0.99435  yes      19   1.000000000000  +1.09e-12  8.836e-02  inf  nan   49.5811   no 

== V_p = random Hermitian ==
  lam/lam_c   lam      ED gap   >=1/2?  KT conv  |<psi_KT|g>|  E_KT-E0_ED   ||C||_1   mu*(lam)  ratio  2lam q'(||C||)  L4'-says-gap>=1/2
      0.5  0.00595  0.99956  yes      13   1.000000000000  +3.76e-15  1.989e-03  1.069e-02  0.186   0.3531   yes 
      1.0  0.01191  0.99913  yes      13   1.000000000000  +1.31e-14  3.987e-03  2.997e-02  0.133   0.7244   yes 
      2.0  0.02382  0.99825  yes      13   1.000000000000  +4.60e-14  8.007e-03  inf  nan   1.5243   no 
      5.0  0.05954  0.99563  yes      14   1.000000000000  +5.19e-14  2.027e-02  inf  nan   4.4398   no 
     10.0  0.11908  0.99128  yes      14   1.000000000000  +1.82e-13  4.139e-02  inf  nan   11.4781   no 
     20.0  0.23817  0.98233  yes      15   1.000000000000  +1.36e-13  8.632e-02  inf  nan   38.7549   no 
     22.0  0.26198  0.98052  yes      15   1.000000000000  +1.71e-13  9.574e-02  inf  nan   47.4310   no 
     25.0  0.29771  0.97779  yes      15   1.000000000000  +2.27e-13  1.102e-01  inf  nan   63.3429   no 

== V_p = diag+refl ==
  lam/lam_c   lam      ED gap   >=1/2?  KT conv  |<psi_KT|g>|  E_KT-E0_ED   ||C||_1   mu*(lam)  ratio  2lam q'(||C||)  L4'-says-gap>=1/2
      0.5  0.00595  0.99303  yes      14   1.000000000000  +1.02e-14  3.741e-03  1.069e-02  0.350   0.3611   yes 
      1.0  0.01191  0.98614  yes      15   1.000000000000  +1.32e-14  7.594e-03  2.997e-02  0.253   0.7582   yes 
      2.0  0.02382  0.97262  yes      15   1.000000000000  +1.11e-13  1.566e-02  inf  nan   1.6773   no 
      5.0  0.05954  0.93420  yes      16   1.000000000000  +4.28e-13  4.316e-02  inf  nan   5.8617   no 
     10.0  0.11908  0.87803  yes      20   1.000000000000  -4.66e-13  1.041e-01  inf  nan   23.6716   no 
     20.0  0.23817  0.79869  yes      26   1.000000000000  +2.27e-13  3.450e-01  inf  nan   564.9537   no 
     22.0  0.26198  0.78827  yes      28   1.000000000000  -1.00e-12  4.320e-01  inf  nan   1393.5779   no 
     25.0  0.29771  0.77588  yes      30   1.000000000000  -1.05e-12  6.093e-01  inf  nan   7080.5961   no 
